Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BW2	IJ2	JH2	LC2	MT2	RM2	SM2	TD2																		
62	HL	20.3	16.73111	0.577126498	b	0.312519975	11.690	2.241	0	0	0	0	0	0	0	0																		
64	HL	19.7	16.61808	0.574675431	a	0.29108909	12.770	4.496	0	0	1	1	1	1	0	1																		
65	HL	15.4	15.69038	0.547202078	a	0.159923615	13.373	4.644	0	0	0	0	0	0	0	0																		
67	HL	22.8	17.16864	0.585197979	b	0.410202604	13.264	9.223	1	0	0	1	0	0	1	1																		
69	HL	13.0	15.05213	0.518086193	b	0.103508657	12.939	12.976	0	0	0	0	0	0	0	0																		
70	HL	17.0	16.06276	0.559992047	a	0.204169036	12.878	14.926	0	0	1	1	1	0	0	0																		
71	HL	24.1	17.37755	0.588354087	c	0.466392121	13.471	19.584	0	0	0	0	0	0	0	0																		
73	HL	18.9	16.46190	0.571009869	a	0.26371643	13.748	23.464	0	0	0	0	0	0	1	0																		
75	HL	21.0	16.85883	0.579705725	b	0.338503743	13.710	26.566	0	0	1	0	1	0	0	0																		
96	HL	13.7	15.24972	0.528211764	b	0.118741033	19.400	27.886	0	0	0	0	0	0	0	0																		
97	HL	16.6	15.97306	0.557151483	b	0.192604996	19.280	26.231	0	0	0	0	0	0	0	0																		
99	HL	9.1	13.70843	0.411607878	b	0.036698147	19.139	22.794	0	0	0	0	0	0	0	0																		
100	HL	13.7	15.24972	0.528211764	b	0.118741033	19.438	22.656	0	0	0	0	0	0	0	0																		
101	HL	22.1	17.05117	0.583235982	a	0.381480998	19.613	20.588	0	1	1	1	1	0	0	1																		
102	HL	13.6	15.22212	0.526862155	b	0.116503702	19.488	18.432	0	0	0	0	0	0	0	0																		
103	HL	21.3	16.91227	0.580727901	a	0.349964193	19.268	16.816	0	0	0	0	0	0	0	0																		
105	HL	17.5	16.17197	0.563260716	b	0.219097969	19.520	12.769	0	0	0	0	0	0	0	0																		
106	HL	15.5	15.71477	0.548123663	c	0.162532331	19.317	12.503	0	0	0	0	0	0	0	0																		
107	HL	9.2	13.74961	0.416124044	c	0.038034576	19.200	11.095	0	0	0	0	0	0	0	0																		
108	HL	11.1	14.45688	0.480126836	b	0.067168635	19.290	10.228	0	0	0	0	0	0	0	0																		
109	HL	20.1	16.69381	0.576335608	c	0.305290268	19.136	5.727	0	0	0	0	0	0	0	0																		
