Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	BS2	CM&SB2	GJ2	IB2	JH2	MW2	NR2	SH2	TS2																	
59	JL	20.1	17.22216	0.57692664	c	0.315275431	10.404	6.632	0	0	0	0	0	0	0	0	0																	
60	JL	18.9	16.93509	0.571534479	a	0.271545978	10.783	9.180	0	0	0	0	0	0	0	0	0																	
61	JL	9.5	13.72727	0.428838854	b	0.041726843	10.535	10.865	0	0	0	0	0	0	0	0	0																	
62	JL	13.8	15.46848	0.52970511	b	0.122554664	10.593	12.719	0	0	0	0	0	0	0	0	0																	
63	JL	15.2	15.91909	0.545581312	b	0.157599471	10.646	14.454	0	0	0	0	0	0	0	0	0																	
64	JL	17.6	16.60276	0.56432501	a	0.227942233	10.704	16.298	1	0	0	1	0	0	0	0	0																	
65	JL	17.7	16.62918	0.564939357	b	0.231158099	10.761	18.152	0	0	0	0	0	0	0	0	0																	
66	JL	12.7	15.08111	0.513308124	b	0.09806379	10.619	20.036	0	0	0	0	0	0	0	0	0																	
67	JL	15.8	16.09963	0.551103603	c	0.173961527	10.889	22.277	0	0	0	0	0	0	0	0	1																	
68	JL	18.5	16.83533	0.569485243	b	0.257713696	10.743	24.022	0	0	0	0	0	0	0	0	0																	
69	JL	21.6	17.55780	0.582369786	b	0.374684966	11.075	28.285	0	0	0	0	1	0	0	0	1																	
70	JL	17	16.44101	0.560398162	a	0.209128317	11.078	31.637	1	0	0	0	0	0	0	0	0																	
71	JL	19.5	17.08083	0.574362579	b	0.292990968	11.040	33.639	0	0	0	0	0	0	0	0	0																	
72	JL	18.8	16.91035	0.571035069	b	0.268053146	11.100	35.563	0	0	0	0	0	0	0	0	0																	
73	JL	19.5	17.08083	0.574362579	c	0.292990968	12.996	32.697	0	0	0	0	0	0	0	0	0																	
74	JL	19.3	17.03275	0.573450843	b	0.285749561	13.043	28.355	0	0	0	0	0	0	0	0	0																	
75	JL	12.8	15.11768	0.514977328	c	0.10018049	13.412	25.836	0	0	0	0	0	0	0	0	0																	
76	JL	22.6	17.76885	0.585368487	b	0.417249054	12.790	23.963	1	0	1	0	0	0	0	0	0																	
77	JL	13.5	15.36598	0.525632724	b	0.115611268	12.865	21.940	0	0	0	0	0	0	0	0	0																	
78	JL	17	16.44101	0.560398162	b	0.209128317	12.839	19.838	0	0	0	0	0	0	0	0	0																	
79	JL	13.7	15.43456	0.528377761	b	0.120218112	13.013	17.686	0	0	0	0	0	0	0	0	0																	
80	JL	10.7	14.28199	0.469418335	b	0.060284596	12.811	17.528	0	0	0	0	0	0	0	0	0																	
81	JL	12.7	15.08111	0.513308124	c	0.09806379	12.989	15.684	0	0	0	0	0	0	0	0	0																	
82	JL	24.3	18.10707	0.589569651	b	0.495091724	13.062	13.473	1	0	1	0	0	0	1	1	0																	
83	JL	12.4	14.96963	0.50805398	b	0.09184469	12.834	11.222	0	0	0	0	0	0	0	0	0																	
84	JL	11.6	14.65862	0.491984054	a	0.076216656	12.510	9.249	0	0	0	0	0	0	0	0	0																	
85	JL	23	17.85066	0.586450278	a	0.434941771	12.381	6.850	0	0	1	0	0	0	0	1	0																	
86	JL	17.4	16.54946	0.563062971	c	0.221579336	12.356	4.748	0	0	0	0	0	0	0	0	0																	
87	JL	13.2	15.26118	0.521275679	c	0.108866287	14.571	6.413	0	0	0	0	0	0	0	0	0																	
88	JL	22	17.64337	0.583622798	a	0.391425368	14.726	8.416	1	1	0	0	1	0	0	0	0																	
89	JL	15.3	15.94967	0.546548226	a	0.160270246	14.789	10.667	0	0	0	0	0	0	0	0	0																	
90	JL	17.5	16.57619	0.563699632	b	0.224749318	15.103	14.772	0	0	0	0	0	0	0	0	0																	
91	JL	15.6	16.04022	0.549335401	c	0.168417444	15.226	19.184	0	0	0	0	0	0	0	0	0																	
92	JL	25.5	18.33185	0.591991563	b	0.554232677	15.286	21.355	1	1	0	1	0	0	0	0	0																	
93	JL	21.9	17.62212	0.583316524	b	0.387204672	15.243	23.407	0	0	0	0	0	0	0	0	0																	
94	JL	9.1	13.52667	0.411656309	b	0.036215813	15.608	25.737	0	0	0	0	0	0	0	0	0																	
95	JL	13.1	15.22572	0.519755588	b	0.106661939	15.511	29.435	0	0	0	0	0	0	0	0	0																	
96	JL	19.5	17.08083	0.574362579	c	0.292990968	15.266	31.389	0	0	0	0	0	0	0	0	0																	
97	JL	25.2	18.27666	0.591422454	b	0.539120327	15.587	35.771	0	1	0	1	0	1	1	0	1																	
98	JL	13.1	15.22572	0.519755588	b	0.106661939	18.097	36.296	0	0	0	0	0	0	0	0	0																	
99	JL	21.7	17.57934	0.582690105	b	0.378834488	18.081	32.618	0	0	0	0	1	0	0	0	0																	
100	JL	15.6	16.04022	0.549335401	b	0.168417444	17.899	30.030	0	0	0	0	0	0	0	0	0																	
101	JL	12.7	15.08111	0.513308124	b	0.09806379	17.652	28.563	0	0	0	0	0	0	0	0	0																	
102	JL	11.1	14.45315	0.480124983	c	0.067151016	17.898	26.848	0	0	0	0	0	0	0	0	0																	
103	JL	24.6	18.16429	0.590212703	b	0.509550253	17.931	24.716	0	0	0	1	1	1	1	1	1																	
104	JL	7.6	12.68667	0.321740585	c	0.018516992	18.076	22.981	0	0	0	0	0	0	0	0	0																	
105	JL	7	12.30316	0.269007971	c	0.012737016	17.914	21.018	0	0	0	0	0	0	0	0	0																	
106	JL	13.1	15.22572	0.519755588	c	0.106661939	17.741	18.728	0	0	0	0	0	0	0	0	0																	
107	JL	21.5	17.53616	0.58204461	b	0.370559135	17.372	16.536	0	0	0	0	1	1	0	0	0																	
108	JL	24	18.04914	0.588899416	b	0.480850322	17.401	14.315	1	0	0	1	0	0	1	0	0																	
109	JL	16.7	16.35798	0.55826752	c	0.200029836	17.434	12.194	0	0	0	0	0	0	0	0	0																	
110	JL	17	16.44101	0.560398162	b	0.209128317	17.377	10.399	0	0	0	0	0	0	0	0	0																	
111	JL	19	16.95970	0.57202559	b	0.275062017	17.308	8.208	0	0	0	0	0	0	0	0	0																	
112	JL	19.6	17.10468	0.574807386	a	0.29664664	17.143	6.146	0	0	0	0	0	0	0	0	1																	
113	JL	25.2	18.27666	0.591422454	c	0.539120327	17.066	3.727	0	0	0	0	0	0	0	0	0																	
114	JL	18.8	16.91035	0.571035069	b	0.268053146	16.998	1.575	0	0	0	0	0	0	0	0	0																	
115	JL	28.3	18.81770	0.596351078	b	0.705880756	19.251	2.319	0	1	1	0	0	1	1	0	1																	
116	JL	24.1	18.06853	0.589125933	b	0.485573356	19.393	6.909	1	0	0	0	0	0	0	0	0																	
117	JL	22	17.64337	0.583622798	a	0.391425368	19.461	9.110	0	1	1	0	0	1	1	1	0																	
118	JL	19.9	17.17552	0.576099333	b	0.307753756	19.661	15.555	0	0	0	0	0	0	0	0	0																	
119	JL	16.2	16.21622	0.554439926	b	0.18532076	19.930	17.815	0	0	0	0	0	0	0	0	0																	
120	JL	13.1	15.22572	0.519755588	b	0.106661939	19.906	20.244	0	0	0	0	0	0	0	0	0																	
121	JL	12.9	15.15397	0.516607527	b	0.102319065	20.270	22.327	0	0	0	0	0	0	0	0	0																	
122	JL	12.9	15.15397	0.516607527	b	0.102319065	20.379	22.624	0	0	0	0	0	0	0	0	0																	
123	JL	13	15.18998	0.518199902	b	0.10447954	20.085	22.812	0	0	0	0	0	0	0	0	0																	
