Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	CN2	CS2	DW2	GG2	GJ2	JH2A	JH2B	SM2
67	SS	22	19.29154	0.53281	b	0.39073	13.046	13.303	0	0	1	0	0	0	0	0
68	SS	25	20.13911	0.52527	a	0.51927	13.515	16.092	1	0	0	0	0	0	0	0
69	SS	11	14.69577	0.55320	a	0.07726	13.818	18.194	0	0	0	0	0	1	0	0
70	SS	30	21.34796	0.51088	a	0.77092	13.905	20.127	1	0	0	0	0	0	0	0
71	SS	26	20.39916	0.52257	a	0.56597	14.395	24.171	1	0	0	0	0	0	0	0
72	SS	18	17.96103	0.54156	a	0.24752	14.910	26.403	0	0	0	0	1	1	0	1
73	SS	15	16.75219	0.54710	a	0.16196	15.149	28.883	0	0	0	0	0	0	0	0
74	SS	21	18.98310	0.53514	a	0.35186	16.842	27.588	0	0	0	0	0	0	0	0
75	SS	32	21.77587	0.50450	a	0.88354	16.187	23.285	0	0	1	0	0	0	0	1
76	SS	16	17.18010	0.54535	a	0.18838	15.643	20.984	0	0	0	0	1	0	0	0
77	SS	23	19.58627	0.53039	a	0.43161	15.400	18.682	0	0	1	0	0	1	0	0
78	SS	22	19.29154	0.53281	a	0.39073	15.135	15.226	0	1	1	0	0	0	0	1
79	SS	22	19.29154	0.53281	a	0.39073	15.022	13.213	0	0	0	0	0	0	1	1
80	SS	26	20.39916	0.52257	a	0.56597	14.854	10.683	1	0	0	1	1	0	0	1
81	SS	27	20.64939	0.51978	a	0.61454	13.901	10.185	0	0	0	0	0	0	0	0
82	SS	21	18.98310	0.53514	b	0.35186	15.262	5.483	0	0	0	0	1	0	0	0
83	SS	11	14.69577	0.55320	a	0.07726	16.149	8.103	0	0	0	0	0	0	0	0
84	SS	18	17.96103	0.54156	a	0.24752	17.230	10.683	0	0	0	0	0	0	0	1
85	SS	20	18.65960	0.53738	a	0.31502	16.877	13.034	1	0	1	0	0	0	0	1
86	SS	17	17.58205	0.54351	a	0.21690	17.181	15.086	0	0	0	0	0	0	0	0
87	SS	17	17.58205	0.54351	a	0.21690	17.593	17.198	1	0	0	0	0	0	0	0
88	SS	16	17.18010	0.54535	a	0.18838	17.896	19.928	0	0	0	0	0	0	0	0
89	SS	15	16.75219	0.54710	a	0.16196	18.102	22.000	1	0	0	0	1	0	0	0
90	SS	25	20.13911	0.52527	b	0.51927	19.115	24.799	0	0	0	0	1	1	1	1
91	SS	14	16.29474	0.54876	a	0.13765	19.542	27.688	0	0	0	0	0	0	0	0
92	SS	19	18.31951	0.53952	b	0.28023	19.754	29.800	0	0	0	0	0	0	0	1
93	SS	24	19.86845	0.52788	a	0.47447	21.496	27.598	0	1	0	0	0	0	0	0
94	SS	25	20.13911	0.52527	a	0.51927	21.569	25.706	1	0	0	0	0	0	1	1
95	SS	16	17.18010	0.54535	a	0.18838	21.049	23.853	0	0	0	0	1	0	0	0
96	SS	23	19.58627	0.53039	a	0.43161	20.610	21.312	0	0	0	0	0	0	0	0
97	SS	17	17.58205	0.54351	a	0.21690	19.731	19.121	0	0	0	0	0	0	0	0
98	SS	21	18.98310	0.53514	a	0.35186	19.292	16.580	0	0	0	0	0	0	1	0
99	SS	25	20.13911	0.52527	b	0.51927	18.967	15.275	0	0	0	0	0	0	0	0
100	SS	10	14.06383	0.55457	a	0.06126	17.646	8.212	0	0	0	0	0	0	0	0
101	SS	25	20.13911	0.52527	a	0.51927	17.209	6.838	0	0	0	0	0	0	0	0
102	SS	10	14.06383	0.55457	b	0.06126	18.031	1.867	0	0	0	0	0	0	0	0
103	SS	29	21.12318	0.51394	a	0.71706	18.331	4.566	0	0	0	0	0	0	0	1
104	SS	25	20.13911	0.52527	c	0.51927	19.476	7.505	0	1	0	0	1	1	0	1
105	SS	31	21.56537	0.50773	a	0.82643	19.706	9.826	0	0	0	0	0	0	0	0
106	SS	23	19.58627	0.53039	a	0.43161	21.314	15.803	0	0	0	0	0	0	0	0
107	SS	15	16.75219	0.54710	a	0.16196	22.081	18.862	0	0	0	0	0	0	0	0
108	SS	10	14.06383	0.55457	a	0.06126	23.465	26.333	0	0	0	0	0	0	0	0
109	SS	13	15.80338	0.55032	a	0.11544	23.779	28.027	0	0	0	0	0	0	0	0
110	SS	18	17.96103	0.54156	a	0.24752	25.908	28.734	0	0	0	0	0	0	0	0
111	SS	21	18.98310	0.53514	a	0.35186	25.407	25.696	0	0	0	0	0	1	0	0
112	SS	17	17.58205	0.54351	a	0.21690	25.240	23.843	0	0	0	0	0	0	0	0
113	SS	23	19.58627	0.53039	a	0.43161	24.695	21.591	0	0	0	0	0	0	0	0
114	SS	13	15.80338	0.55032	a	0.11544	24.379	19.489	0	0	0	0	0	0	0	0
115	SS	24	19.86845	0.52788	a	0.47447	23.889	17.517	0	0	0	0	0	0	0	0
116	SS	32	21.77587	0.50450	c	0.88354	21.897	10.484	0	0	0	0	0	0	1	0
117	SS	27	20.64939	0.51978	a	0.61454	20.476	5.323	1	0	0	0	1	1	0	0
118	SS	20	18.65960	0.53738	b	0.31502	21.603	2.594	0	0	0	0	0	0	0	0
119	SS	37	22.73847	0.48701	b	1.19067	23.092	5.612	0	0	0	0	0	0	1	0
120	SS	28	20.89052	0.51690	a	0.66491	22.569	7.704	0	0	0	0	1	0	0	0
121	SS	37	22.73847	0.48701	b	1.19067	24.972	14.738	0	0	1	0	0	0	0	1
122	SS	25	20.13911	0.52527	a	0.51927	25.522	16.272	0	1	1	0	0	1	1	0
123	SS	23	19.58627	0.53039	a	0.43161	26.597	18.792	0	0	0	0	0	0	0	0
124	SS	21	18.98310	0.53514	a	0.35186	27.015	21.940	0	0	0	0	0	1	0	0
125	SS	16	17.18010	0.54535	a	0.18838	27.523	24.171	1	0	0	0	0	0	1	0
126	SS	27	20.64939	0.51978	a	0.61454	27.966	26.114	0	0	0	0	0	0	0	0
127	SS	28	20.89052	0.51690	a	0.66491	27.811	28.505	1	1	0	0	0	0	0	0
128	SS	21	18.98310	0.53514	a	0.35186	29.600	26.800	1	0	0	0	0	1	1	0
129	SS	34	22.17783	0.49777	a	1.00229	25.683	2.783	1	0	0	0	0	0	0	0
130	SS	27	20.64939	0.51978	a	0.61454	27.673	4.098	0	0	0	0	0	0	1	1
131	SS	31	21.56537	0.50773	b	0.82643	28.611	6.180	0	1	0	0	0	0	0	0
132	SS	22	19.29154	0.53281	c	0.39073	30.714	24.630	0	0	0	0	0	0	0	0
133	SS	17	17.58205	0.54351	a	0.21690	31.801	22.926	0	0	0	0	0	0	0	0
134	SS	27	20.64939	0.51978	b	0.61454	31.707	21.063	0	0	0	0	0	0	1	0
135	SS	35	22.37002	0.49427	b	1.06379	31.366	18.254	0	0	0	0	0	0	0	0
136	SS	28	20.89052	0.51690	a	0.66491	31.951	13.970	1	0	1	1	1	1	1	1
137	SS	32	21.77587	0.50450	a	0.88354	31.143	11.819	0	0	0	0	0	0	0	0
138	SS	26	20.39916	0.52257	a	0.56597	31.814	7.256	1	0	0	0	1	0	0	0
139	SS	25	20.13911	0.52527	a	0.51927	30.842	3.829	0	0	0	0	0	0	1	0
140	SS	26	20.39916	0.52257	a	0.56597	31.643	2.235	0	0	0	0	0	0	0	0
141	SS	25	20.13911	0.52527	a	0.51927	33.224	6.479	0	0	0	0	0	0	0	0
142	SS	14	16.29474	0.54876	a	0.13765	33.818	18.065	0	0	0	0	0	0	0	0
143	SS	24	19.86845	0.52788	a	0.47447	33.728	20.645	1	1	1	1	1	1	0	1
144	SS	22	19.29154	0.53281	a	0.39073	34.000	22.319	0	0	1	1	0	1	0	1
145	SS	23	19.58627	0.53039	a	0.43161	34.189	24.411	0	0	0	0	0	0	0	0
146	SS	36	22.55681	0.49068	b	1.12661	34.276	26.453	0	0	0	0	0	0	0	0
147	SS	31	21.56537	0.50773	a	0.82643	35.289	21.043	0	0	0	0	0	0	1	0
148	SS	26	20.39916	0.52257	a	0.56597	35.409	15.843	0	0	0	0	0	0	0	0
149	SS	24	19.86845	0.52788	a	0.47447	35.358	12.516	0	0	0	0	1	1	0	0
150	SS	21	18.98310	0.53514	a	0.35186	35.024	10.314	1	0	1	0	0	0	0	1
151	SS	20	18.65960	0.53738	b	0.31502	34.492	8.282	0	0	0	0	0	0	0	0
152	SS	14	16.29474	0.54876	a	0.13765	35.529	4.148	0	0	0	0	0	0	0	0
153	SS	19	18.31951	0.53952	a	0.28023	33.925	3.919	0	0	0	0	0	0	0	0
154	SS	24	19.86845	0.52788	a	0.47447	34.195	1.996	0	0	0	0	0	1	0	0
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
