Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AB1	BA1	CJ1	GF1	GR1	JB1	JH1	NC1	RP1	SC1																
56	BE	26.6	22.43755	0.489702624	b	0.61060603	25.400	4.631	1	0	1	0	0	0	0	1	0	1																
57	BE	21.0	13.65000	0.499194695	b	0.236010369	25.400	1.604	0	1	0	0	0	1	0	0	0	0																
58	BE	13.6	16.65275	0.454218138	b	0.109879894	26.900	4.681	1	1	1	1	1	1	1	0	1	1																
59	BE	26.7	22.46991	0.489779083	b	0.616189066	26.800	7.907	0	0	0	0	0	0	0	0	0	0																
60	BE	23.6	21.40566	0.486989945	a	0.455997601	27.900	13.577	0	0	0	0	0	0	0	0	0	0																
61	BE	25.1	21.93703	0.488460541	b	0.530206098	27.300	19.662	0	0	0	0	0	1	0	0	1	0																
62	BE	18.4	19.25938	0.478237151	c	0.244912635	28.800	4.523	0	0	1	1	0	0	0	0	0	0																
63	BE	14.3	17.08555	0.459904161	b	0.126199682	28.400	6.215	0	1	0	0	1	1	1	0	1	1																
64	BE	25.0	21.90261	0.4883705	c	0.525067566	31.500	24.402	0	0	1	1	1	1	0	1	1	1																
65	BE	29.8	23.41712	0.491871655	b	0.803355508	30.500	20.909	0	0	0	0	0	0	0	0	0	0																
66	BE	24.4	21.69313	0.487807787	c	0.494812278	31.000	14.517	0	0	1	0	1	1	1	0	1	0																
67	BE	25.5	22.07337	0.488810886	b	0.551035774	31.000	12.825	0	0	0	0	0	0	0	0	0	0																
68	BE	19.5	19.76008	0.48083084	b	0.283752747	31.200	8.263	0	1	0	0	1	1	1	0	1	0																
69	BE	29.9	23.44601	0.491932184	a	0.809853569	31.200	6.620	0	0	0	0	0	0	0	0	0	0																
70	BE	24.5	21.72840	0.487904376	c	0.499786444	31.800	1.821	0	0	0	0	0	0	0	0	0	0																
71	BE	10.1	14.08706	0.394017473	b	0.044470123	33.100	9.836	0	1	1	1	1	1	0	0	1	1																
72	BE	28.3	22.97177	0.490917943	c	0.709358929	34.700	25.688	0	0	0	0	0	0	0	0	0	0																
73	BE	22.0	20.80028	0.485058079	b	0.383528913	35.500	17.723	0	0	0	0	0	1	0	0	0	0																
74	BE	15.8	17.94572	0.468877009	b	0.164977161	34.300	16.397	1	1	1	1	1	1	1	1	1	1																
75	BE	17.9	19.02181	0.476845055	b	0.228257547	34.400	14.695	1	0	1	0	1	0	1	1	0	0																
76	BE	17.5	18.82693	0.475615287	c	0.215377983	34.200	14.457	1	0	1	1	1	1	1	1	1	0																
77	BE	33.7	24.47769	0.494043599	c	1.07866191	35.000	1.752	0	0	0	0	0	1	0	0	1	0																
78	BE	18.5	19.30612	0.478498043	b	0.248318181	34.800	9.569	1	1	1	1	1	1	0	1	0	0																
79	BE	23.3	21.29534	0.486660482	b	0.441888241	37.900	4.493	0	1	0	0	0	0	0	0	0	0																
80	BE	22.3	20.91707	0.485455869	b	0.396597755	37.700	7.788	0	0	0	0	0	0	0	0	0	0																
81	BE	21.7	20.68188	0.484641124	c	0.370697458	37.400	10.994	0	1	0	1	0	1	1	0	1	0																
82	BE	16.4	18.26712	0.471580552	c	0.181971536	37.300	14.418	0	1	1	1	1	1	0	0	1	1																
83	BE	21.2	20.48086	0.483899439	b	0.349836383	37.200	15.981	0	0	0	0	0	0	0	0	0	0																
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
