Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AM2	AML2	JH2	JL2	LC2	MB2	PR2	GW2	HMK2	JT2	MB2	NMI2	RR2	SD2												
49	HL	13.8	11.32901	0.524642059	c	0.08890031	8.700	13.330	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
50	HL	18.4	12.40184	0.562541269	b	0.185509423	8.500	10.851	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
51	HL	18.4	12.40184	0.562541269	b	0.185509423	8.600	6.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
52	HL	9.3	9.85727	0.421350944	c	0.028213463	8.200	4.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
53	HL	13.6	11.27457	0.522070302	c	0.085506034	7.800	4.544	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
54	HL	20.5	12.80487	0.571887999	a	0.241703928	8.200	2.484	0	1	1	0	0	1	1	0	1	1	0	1	0	0												
55	HL	9.2	9.81695	0.417269567	c	0.027230711	10.300	1.732	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
56	HL	17.0	12.10672	0.55422383	b	0.15229982	10.100	1.908	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
57	HL	9.3	9.85727	0.421350944	c	0.028213463	10.400	2.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
58	HL	15.3	11.71381	0.54083074	b	0.116474872	9.700	3.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
59	HL	14.2	11.43557	0.529464465	b	0.095887325	10.100	5.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
60	BI	12.2	10.30000	0.46764856	c	0.056307516	10.600	10.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
61	BI	11.4	9.85000	0.471000129	c	0.047354019	11.000	10.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
62	HL	19.7	12.65642	0.568691445	a	0.219386556	10.100	13.477	0	0	0	0	1	0	0	0	1	0	0	0	0	0												
63	HL	18.5	12.42205	0.563062428	b	0.188010966	10.100	15.449	1	0	0	1	0	0	0	1	0	0	1	1	1	0												
64	HL	16.5	11.99539	0.550716399	b	0.141253822	9.800	17.138	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
65	HL	16.0	11.88064	0.546869852	b	0.130633206	10.300	20.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
66	HL	19.0	12.52150	0.565542237	b	0.200779122	10.400	24.089	0	0	0	0	1	0	0	0	0	0	0	0	1	0												
67	HL	15.3	11.71381	0.54083074	b	0.116474872	10.500	25.944	0	0	0	0	0	0	1	1	0	0	0	0	0	0												
68	HL	5.9	8.16025	0.153452235	c	0.003423503	10.300	30.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
69	HL	16.9	12.08472	0.553547593	b	0.150056487	13.500	29.683	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
70	HL	12.9	11.07751	0.512114098	c	0.074144385	13.000	27.672	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
71	HL	18.5	12.42205	0.563062428	c	0.188010966	13.200	27.486	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
72	HL	11.1	10.51708	0.477441967	c	0.048590525	12.900	27.301	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
73	HL	11.9	10.77661	0.494765288	a	0.059301417	13.200	25.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
74	HL	19.1	12.54108	0.56601421	b	0.203384949	13.300	22.820	1	0	0	0	0	0	0	0	0	0	1	0	1	0												
75	HL	17.3	12.17195	0.556181348	a	0.159132481	13.400	20.486	0	1	1	0	1	1	1	1	1	1	0	0	0	0												
76	HL	23.1	13.25016	0.488289808	c	0.27115196	12.100	16.620	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
77	HL	21.4	12.96510	0.575045381	b	0.268160824	13.200	15.742	0	0	0	0	1	0	0	1	1	1	0	1	1	0												
78	HL	22.7	13.18502	0.578925856	c	0.308919585	13.400	11.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
79	HL	13.1	11.13489	0.515120892	c	0.077308526	13.600	8.810	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
80	HL	6.5	8.52142	0.23056182	b	0.006519529	13.200	6.418	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
81	HL	25.3	13.58942	0.58485964	b	0.399561249	12.500	3.743	0	0	0	1	1	0	0	0	1	0	1	0	1	1												
82	HL	13.5	11.24705	0.520741565	a	0.083833636	13.700	1.527	0	0	0	0	0	0	1	0	0	0	0	0	0	0												
83	HL	7.1	8.85069	0.289938647	c	0.010159904	16.100	1.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
84	HL	12.8	11.04849	0.510558082	c	0.072586848	15.300	1.927	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
85	HL	16.2	11.92696	0.548451804	b	0.134830543	16.100	6.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
