Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AM2	AML2	JH2	JL2	LC2	MB2	PR2	GW2	HMK2	JT2	MB2	NMI2	RR2	SD2												
207	HL	9.9	10.09042	0.443375116	b	0.034438233	30.3	23.20052719	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
208	HL	10.2	10.20175	0.452998792	a	0.037762599	29.4	28.40408084	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
209	HL	12.0	10.80781	0.496694608	b	0.060712718	28.9	29.45845944	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
210	HL	7.5	9.05508	0.322226619	b	0.012890386	32.4	27.50590647	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
211	HL	10.7	10.38021	0.467320068	a	0.043619244	32.2	23.69842819	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
212	HL	5.8	8.09650	0.138387607	b	0.002960333	32.2	23.55198672	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
213	HL	10.1	10.16501	0.449883379	a	0.036638718	31.7	21.73611247	0	0	0	0	0	1	0	0	0	0	0	0	0	0												
214	HL	9.5	9.93662	0.429142758	a	0.030225775	32.2	20.22288392	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
215	HL	6.2	8.34521	0.194626466	b	0.00490357	31.2	7.541052426	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
216	HL	19.7	12.65642	0.568691445	b	0.219386556	32	12.32480719	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
217	HL	13.7	11.30189	0.523370196	b	0.087194919	32.2	3.37235185	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
218	HL	9.7	10.01431	0.436472305	c	0.032300642	32.3	1.946988187	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
