Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	ES2	GH2	JH2	KW2	MJ2	TB2																				
67	HL	21	15.84137	0.578449883	b	0.317385383	13.264	9.223	1	0	0	1	0	1																				
68	HL	9	14.34233	0.406734867	a	0.037111286	13.005	11.272	0	0	0	0	0	0																				
69	HL	12	14.85130	0.500445568	b	0.084056945	12.939	12.976	0	0	0	0	0	0																				
70	HL	15	15.24608	0.542966959	a	0.146286438	12.878	14.926	1	0	0	0	0	0																				
71	HL	22	15.92367	0.581557406	c	0.352023021	13.471	19.584	0	1	0	0	0	1																				
72	HL	7	13.89770	0.265544297	c	0.014202539	13.306	21.357	0	0	0	0	0	0																				
73	HL	17	15.46752	0.559312717	a	0.196364571	13.748	23.464	1	0	0	0	0	0																				
74	HL	12	14.85130	0.500445568	a	0.084056945	13.781	25.109	0	0	0	0	0	0																				
75	HL	19	15.66430	0.570512931	b	0.253380745	13.710	26.566	1	0	0	0	0	0																				
76	HL	17	15.46752	0.559312717	b	0.196364571	16.171	28.959	0	0	0	0	0	0																				
77	HL	20	15.75505	0.574807693	b	0.284506516	15.614	25.197	0	1	1	0	0	1																				
78	HL	11	14.69736	0.477689584	b	0.066720647	15.891	23.681	0	0	0	0	0	0																				
79	HL	16	15.36026	0.551947737	c	0.17046157	15.656	21.327	0	0	0	0	0	0																				
80	HL	15	15.24608	0.542966959	a	0.146286438	16.038	20.106	0	0	0	0	0	0																				
81	HL	11	14.69736	0.477689584	c	0.066720647	15.632	13.094	0	0	0	0	0	0																				
82	HL	21	15.84137	0.578449883	a	0.317385383	15.904	11.223	0	0	0	1	1	0																				
83	HL	20	15.75505	0.574807693	b	0.284506516	15.844	7.244	0	0	0	0	0	0																				
84	HL	12	14.85130	0.500445568	a	0.084056945	15.509	4.949	0	0	0	0	0	0																				
85	HL	15	15.24608	0.542966959	a	0.146286438	15.591	3.708	0	0	0	0	0	0																				
86	HL	15	15.24608	0.542966959	a	0.146286438	16.954	3.088	0	0	0	0	0	0																				
87	HL	13	14.99291	0.518036698	a	0.103091534	17.078	4.575	0	0	0	0	0	0																				
88	HL	15	15.24608	0.542966959	c	0.146286438	17.018	7.076	0	0	0	0	0	0																				
89	HL	10	14.52873	0.447598272	b	0.051074726	17.148	8.938	0	0	0	0	0	0																				
90	HL	22	15.92367	0.581557406	a	0.352023021	17.169	10.248	0	1	1	0	0	0																				
91	HL	20	15.75505	0.574807693	a	0.284506516	17.034	14.276	0	0	0	0	0	0																				
92	HL	25	16.14984	0.588508586	b	0.466542052	16.888	17.644	1	1	1	1	1	1																				
93	HL	13	14.99291	0.518036698	b	0.103091534	17.045	21.160	0	0	0	0	0	0																				
94	HL	13	14.99291	0.518036698	b	0.103091534	16.990	23.966	0	0	0	0	0	0																				
95	HL	11	14.69736	0.477689584	b	0.066720647	17.048	27.600	0	0	0	0	0	0																				
96	HL	13	14.99291	0.518036698	b	0.103091534	19.400	27.886	0	0	0	0	0	0																				
97	HL	15	15.24608	0.542966959	b	0.146286438	19.280	26.231	0	0	0	0	0	0																				
98	HL	10	14.52873	0.447598272	c	0.051074726	19.357	24.301	0	0	0	0	0	0																				
99	HL	9	14.34233	0.406734867	b	0.037111286	19.139	22.794	0	0	0	0	0	0																				
100	HL	13	14.99291	0.518036698	b	0.103091534	19.438	22.656	0	0	0	0	0	0																				
101	HL	21	15.84137	0.578449883	a	0.317385383	19.613	20.588	1	1	0	1	0	1																				
102	HL	13	14.99291	0.518036698	b	0.103091534	19.488	18.432	0	0	0	0	0	0																				
103	HL	19	15.66430	0.570512931	a	0.253380745	19.268	16.816	0	0	0	0	0	0																				
104	HL	11	14.69736	0.477689584	b	0.066720647	19.251	15.329	0	0	0	0	0	0																				
105	HL	16	15.36026	0.551947737	b	0.17046157	19.520	12.769	0	0	0	0	0	0																				
106	HL	14	15.12402	0.531888169	c	0.123832184	19.317	12.503	0	0	0	0	0	0																				
