Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AC1	BB1	CK1	CP1	IP1	IS1	JH1	KT1	LT1	NW1	TC1	TH1	VH1														
55	SS	16.0	18.43729	0.50892275	a	0.188659573	5.798	2.227	0	1	1	0	0	1	0	0	0	0	0	0	0														
56	SS	15.4	18.17051	0.507614944	b	0.171803846	14.339	12.794	0	0	0	0	1	0	1	0	0	0	1	1	1														
57	SS	16.1	18.48078	0.509093695	b	0.19154008	8.276	6.032	0	1	0	0	1	0	1	0	0	1	0	0	0														
58	SS	16.2	18.52400	0.509252212	a	0.194440893	6.753	19.439	0	1	0	0	0	0	0	0	0	0	0	0	0														
59	SS	16.6	18.69425	0.509768842	a	0.20624688	31.196	19.835	1	1	1	0	0	1	1	0	0	1	0	0	1														
60	SS	16.2	18.52400	0.509252212	b	0.194440893	37.007	16.812	1	0	1	0	0	1	0	0	0	1	0	0	0														
61	SS	16.9	18.81927	0.510041939	a	0.215313801	21.046	6.911	0	1	1	0	1	1	0	0	0	1	0	0	0														
62	SS	16.8	18.77784	0.509961196	b	0.212271294	6.470	16.145	0	1	0	0	0	1	1	1	0	1	0	0	0														
64	SS	17.1	18.90138	0.510173963	a	0.221459335	13.119	24.133	1	0	1	0	1	1	0	0	0	1	0	0	0														
65	SS	16.6	18.69425	0.509768842	c	0.20624688	26.945	5.656	1	1	1	0	0	0	0	1	0	1	0	1	0														
66	SS	17.2	18.94208	0.510225781	a	0.224562332	1.690	3.057	0	1	1	0	1	1	1	0	1	1	0	0	1														
67	SS	17.4	19.02278	0.510302312	a	0.230828706	17.051	18.058	0	0	0	1	0	0	0	0	0	0	0	0	0														
68	SS	17.3	18.98255	0.510268481	c	0.227685461	27.949	1.802	1	1	0	1	1	0	1	1	1	0	0	1	0														
69	SS	18.1	19.29808	0.510310189	c	0.253393387	2.394	10.273	0	1	0	0	1	0	1	0	0	0	1	1	0														
70	SS	17.5	19.06278	0.510327515	a	0.233992052	12.744	19.468	1	0	0	0	0	1	1	0	0	0	0	0	0														
71	SS	17.7	19.14209	0.510352967	a	0.240378986	23.452	7.945	0	0	1	0	0	1	1	0	0	1	1	1	0														
72	SS	18.3	19.37478	0.510245239	c	0.26002061	11.858	10.929	0	0	0	0	0	0	1	0	0	0	1	1	0														
73	SS	17.6	19.10255	0.510344324	a	0.237175484	26.747	24.452	1	0	0	0	0	1	0	0	0	1	0	1	1														
74	SS	18.2	19.33653	0.510281182	c	0.25669701	16.916	16.319	1	1	1	1	1	1	1	1	1	1	1	0	1														
75	SS	18.0	19.25941	0.51033207	b	0.250109759	17.509	2.768	0	0	0	0	0	0	0	0	0	0	0	0	0														
76	SS	18.4	19.41282	0.510202545	a	0.263364173	2.447	20.801	0	0	0	0	0	0	0	0	0	0	0	0	0														
77	SS	18.6	19.48828	0.510097618	a	0.270111128	9.771	23.757	0	0	0	0	0	0	0	0	0	0	0	0	0														
78	SS	18.1	19.29808	0.510310189	a	0.253393387	24.877	19.574	0	0	1	0	1	0	0	0	0	1	0	0	0														
79	SS	18.9	19.59996	0.509893924	a	0.280380903	11.605	2.806	0	0	0	0	0	0	0	0	0	0	0	0	0														
80	SS	19.4	19.78221	0.509441427	b	0.297894439	35.668	8.582	0	1	1	0	1	0	1	1	0	1	1	1	0														
81	SS	18.9	19.59996	0.509893924	b	0.280380903	6.950	24.790	0	0	0	0	0	1	0	0	0	0	0	0	0														
82	SS	19.3	19.74614	0.50954254	a	0.294352077	24.467	2.603	0	0	0	0	0	0	0	0	0	0	0	0	0														
83	SS	19.0	19.63679	0.509814325	b	0.283843926	35.463	22.095	0	0	0	0	0	0	1	0	0	1	0	1	0														
84	SS	18.5	19.45065	0.51015328	c	0.266727684	18.485	12.108	0	0	0	0	0	0	0	1	1	1	1	1	0														
85	SS	19.1	19.67343	0.50972913	a	0.287326806	20.557	16.928	0	0	0	0	0	1	1	0	0	0	0	0	0														
86	SS	19.2	19.70988	0.509638487	b	0.290829528	16.434	8.805	0	0	0	0	0	0	1	0	0	0	0	0	0														
87	SS	19.4	19.78221	0.509441427	b	0.297894439	8.522	7.887	0	0	0	0	0	1	0	0	0	0	1	0	0														
