Treenumber	Species	dbh	h	Formfactor	quality	V	X	Y	AB2	BC2	CB2	CN2	JH2	KB2	MMP2	PS2	PW2	SC2	ST2															
55	SP	13.6	9.73955	0.53421037	a	0.07558212	9.390	17.170	0	0	0	0	0	0	0	0	0	0	0															
56	SP	12.8	9.54441	0.538175226	a	0.066097125	9.449	15.070	1	0	0	0	1	1	1	0	1	1	0															
57	SP	17.9	10.62389	0.517648596	b	0.138393071	9.402	13.200	0	0	1	0	0	0	0	0	0	0	0															
58	SP	14	9.83286	0.532356223	b	0.080580177	9.355	11.310	0	1	0	1	0	0	0	0	0	0	0															
59	SP	8.4	8.18857	0.569557644	a	0.025846036	9.372	7.170	0	0	0	0	0	0	0	0	0	0	0															
60	SP	13.5	9.71580	0.534686677	b	0.074359293	9.519	5.510	0	0	0	0	0	0	0	0	0	0	0															
61	SP	13.1	9.61898	0.536645968	a	0.069574394	9.569	3.720	0	0	0	0	1	0	0	0	1	0	0															
62	SP	12.5	9.46807	0.539759245	a	0.062714991	9.819	1.960	1	1	0	0	0	0	1	0	0	0	0															
63	HL	11.7	11.50000	0.491621311	b	0.060784122	12.704	1.590	0	0	0	0	0	0	0	0	0	0	0															
64	SP	8	8.03151	0.573737297	b	0.023162231	11.904	1.720	0	0	0	0	0	0	0	0	0	0	0															
65	SP	7.5	7.82377	0.579499562	c	0.020030033	12.195	3.410	0	0	0	0	0	0	0	0	0	0	0															
66	SP	12	9.33667	0.542530581	a	0.057288628	11.877	6.810	1	0	0	1	0	0	0	1	0	1	0															
67	SP	13.3	9.66775	0.535655302	a	0.071945585	11.860	10.270	0	0	0	0	1	0	0	0	1	0	0															
68	SP	11.3	9.14320	0.546718018	a	0.050131218	11.751	12.000	0	0	0	0	0	0	0	0	0	0	0															
69	SP	12.7	9.51916	0.538696983	c	0.064959192	11.808	20.330	0	0	0	0	0	0	0	0	0	0	0															
70	SP	11.9	9.30973	0.54310584	a	0.056234824	11.774	26.920	1	0	1	0	0	0	0	0	0	0	1															
71	SP	13.4	9.69187	0.535168287	b	0.073147118	11.166	28.530	0	0	0	0	0	0	0	0	0	0	0															
72	SP	15.1	10.07633	0.527640526	b	0.09521039	13.620	33.420	0	0	0	0	0	0	0	0	0	0	1															
73	SP	15.8	10.22220	0.524897541	a	0.105201709	13.608	31.410	0	0	0	1	1	0	0	1	1	0	0															
74	SP	19.7	10.93231	0.512373401	b	0.170734379	13.790	28.280	0	0	0	0	0	0	1	0	0	0	0															
75	SP	16.1	10.28274	0.52377662	c	0.109646975	13.568	24.440	0	1	0	0	0	0	0	0	0	0	0															
76	SP	8.3	8.15001	0.570570487	b	0.025160182	13.358	22.650	0	0	0	0	0	0	0	0	0	0	0															
77	SP	12.6	9.49372	0.539224946	a	0.063831818	13.657	22.480	0	0	0	0	0	0	0	0	0	0	0															
